OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
3397;3397;"Lekkeresluis";"0001";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888184 52.380468,4.888435 52.380324)";"LINESTRING(52.380468 4.888184,52.380324 4.888435)";4.8883095;52.3803959
3398;3398;"Lekkeresluis";"0002";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888165 52.380408,4.888411 52.380269)";"LINESTRING(52.380408 4.888165,52.380269 4.888411)";4.888288;52.38033865
3399;3399;"Brouwersgracht";"0001";"";"06MIN";"Smaller dan 0.6m";"BROM|FIETSONREG|PAAL";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Palen en masten";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887854 52.380583,4.888044 52.380476)";"LINESTRING(52.380583 4.887854,52.380476 4.888044)";4.887949;52.3805313
3400;3400;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888044 52.380476,4.888046 52.380453)";"LINESTRING(52.380476 4.888044,52.380453 4.888046)";4.88804485;52.38046455
3401;3401;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888184 52.380468,4.888165 52.380408)";"LINESTRING(52.380468 4.888184,52.380408 4.888165)";4.88817455;52.38043785
3402;3402;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888165 52.380408,4.888044 52.380476)";"LINESTRING(52.380408 4.888165,52.380476 4.888044)";4.88810445;52.38044355
3403;3403;"Korte Prinsengracht";"0001";"";"18";"1.8m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888728 52.381203,4.888383 52.38082)";"LINESTRING(52.381203 4.888728,52.38082 4.888383)";4.8885555;52.38101195
3404;3404;"Korte Prinsengracht";"0002";"";"09";"0.9m";"PAAL";"Palen en masten";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889054 52.381566,4.888762 52.381269)";"LINESTRING(52.381566 4.889054,52.381269 4.888762)";4.8889079;52.3814163
3405;3405;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888762 52.381269,4.888728 52.381203)";"LINESTRING(52.381269 4.888762,52.381203 4.888728)";4.88874505;52.3812351
3406;3406;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889054 52.381566,4.889096 52.381651)";"LINESTRING(52.381566 4.889054,52.381651 4.889096)";4.8890748;52.38160895
3407;3407;"Korte Prinsengracht";"0003";"";"22";"2.2m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889603 52.382165,4.889144 52.381653,4.889096 52.381651)";"LINESTRING(52.382165 4.889603,52.381653 4.889144,52.381651 4.889096)";4.88934945;52.3819084
3408;3408;"Korte Prinsengracht";"0004";"";"09";"0.9m";"OVERIG";"Overig";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890049 52.381895,4.889601 52.381373)";"LINESTRING(52.381895 4.890049,52.381373 4.889601)";4.8898251;52.3816338
3409;3409;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889601 52.381373,4.889517 52.381287)";"LINESTRING(52.381373 4.889601,52.381287 4.889517)";4.889559;52.3813305
3410;3410;"Korte Prinsengracht";"0005";"";"09";"0.9m";"FIETSREG|BROM|WINKEL|FIETSONREG|PAAL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Palen en masten - Winkeluitstalling & reclameborden";5;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888825 52.380557,4.889517 52.381287)";"LINESTRING(52.380557 4.888825,52.381287 4.889517)";4.88917085;52.3809223
3411;3411;"Eenhoornsluis";"0001";"";"22";"2.2m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889486 52.381439,4.889215 52.381596)";"LINESTRING(52.381439 4.889486,52.381596 4.889215)";4.8893504;52.3815174
3412;3412;"Eenhoornsluis";"0002";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889436 52.381343,4.889164 52.3815)";"LINESTRING(52.381343 4.889436,52.3815 4.889164)";4.8892999;52.381422
3413;3413;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889096 52.381651,4.889215 52.381596)";"LINESTRING(52.381651 4.889096,52.381596 4.889215)";4.8891554;52.3816242
3414;3414;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889054 52.381566,4.889164 52.3815)";"LINESTRING(52.381566 4.889054,52.3815 4.889164)";4.8891089;52.38153265
3415;3415;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889486 52.381439,4.889601 52.381373)";"LINESTRING(52.381439 4.889486,52.381373 4.889601)";4.8895435;52.3814068
3416;3416;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889436 52.381343,4.889517 52.381287)";"LINESTRING(52.381343 4.889436,52.381287 4.889517)";4.8894763;52.3813152
3417;3417;"Haarlemmerstraat";"0001";"";"09";"0.9m";"BROM|WINKEL|GROEN|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Groen - Winkeluitstalling & reclameborden";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891008 52.380578,4.889677 52.381314,4.889601 52.381373)";"LINESTRING(52.380578 4.891008,52.381314 4.889677,52.381373 4.889601)";4.89030455;52.38097575
3418;3418;"Haarlemmerstraat";"0002";"";"09";"0.9m";"WINKEL";"Winkeluitstalling & reclameborden";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.89281 52.380088,4.891112 52.380536)";"LINESTRING(52.380088 4.89281,52.380536 4.891112)";4.8919609;52.38031195
3419;3419;"Haarlemmerstraat";"0003";"";"09";"0.9m";"GROEN|PAAL";"Groen - Palen en masten";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893191 52.379859,4.892869 52.380055)";"LINESTRING(52.379859 4.893191,52.380055 4.892869)";4.89302995;52.3799572
3420;3420;"Haarlemmerstraat";"0004";"";"18";"1.8m";"WINKEL";"Winkeluitstalling & reclameborden";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894165 52.379302,4.893267 52.37982)";"LINESTRING(52.379302 4.894165,52.37982 4.893267)";4.8937161;52.3795624
3421;3421;"Haarlemmerstraat";"0005";"";"09";"0.9m";"FIETSREG|BROM|WINKEL|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894111 52.379222,4.893204 52.379753)";"LINESTRING(52.379222 4.894111,52.379753 4.893204)";4.8936577;52.379488
3422;3422;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893267 52.37982,4.893191 52.379859)";"LINESTRING(52.37982 4.893267,52.379859 4.893191)";4.89322905;52.37984085
3423;3423;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893204 52.379753,4.893133 52.379794)";"LINESTRING(52.379753 4.893204,52.379794 4.893133)";4.8931687;52.3797741
3424;3424;"Haarlemmerstraat";"0006";"";"09";"0.9m";"GROEN|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Groen";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893133 52.379794,4.892819 52.379975)";"LINESTRING(52.379794 4.893133,52.379975 4.892819)";4.89297605;52.37988475
3425;3425;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892869 52.380055,4.89281 52.380088)";"LINESTRING(52.380055 4.892869,52.380088 4.89281)";4.89283945;52.38007165
3426;3426;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892819 52.379975,4.892729 52.380018)";"LINESTRING(52.379975 4.892819,52.380018 4.892729)";4.89277385;52.37999535
3427;3427;"Haarlemmerstraat";"0007";"";"09";"0.9m";"FIETSREG|BROM|WINKEL|TERRAS|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Terrassen - Winkeluitstalling & reclameborden";5;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891052 52.380467,4.892729 52.380018)";"LINESTRING(52.380467 4.891052,52.380018 4.892729)";4.8918903;52.3802414
3428;3428;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891112 52.380536,4.891008 52.380578)";"LINESTRING(52.380536 4.891112,52.380578 4.891008)";4.8910599;52.3805561
3429;3429;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891052 52.380467,4.890941 52.380516)";"LINESTRING(52.380467 4.891052,52.380516 4.890941)";4.89099645;52.3804913
3430;3430;"Haarlemmerstraat";"0008";"";"18";"1.8m";"FIETSREG|BROM|WINKEL|FIETSONREG|PAAL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Palen en masten - Winkeluitstalling & reclameborden";5;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889517 52.381287,4.889796 52.381141,4.890563 52.380711,4.890941 52.380516)";"LINESTRING(52.381287 4.889517,52.381141 4.889796,52.380711 4.890563,52.380516 4.890941)";4.89022895;52.38090135
3431;3431;"Binnen Brouwersstraat";"0001";"";"06";"0.6m";"BROM|GROEN|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Groen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890941 52.380516,4.890287 52.379792)";"LINESTRING(52.380516 4.890941,52.379792 4.890287)";4.890614;52.3801537
3432;3432;"Binnen Brouwersstraat";"0002";"";"09";"0.9m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.8915 52.381114,4.891008 52.380578)";"LINESTRING(52.381114 4.8915,52.380578 4.891008)";4.89125395;52.38084605
3433;3433;"Binnen Brouwersstraat";"0003";"";"09";"0.9m";"BROM|GROEN|PAAL";"Geparkeerde brommers/motoren - Groen - Palen en masten";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891112 52.380536,4.891118 52.380577,4.891576 52.381066)";"LINESTRING(52.380536 4.891112,52.380577 4.891118,52.381066 4.891576)";4.89134385;52.38080025
3434;3434;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891008 52.380578,4.890941 52.380516)";"LINESTRING(52.380578 4.891008,52.380516 4.890941)";4.8909745;52.3805466
3435;3435;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891112 52.380536,4.891052 52.380467)";"LINESTRING(52.380536 4.891112,52.380467 4.891052)";4.89108185;52.3805008
3436;3436;"Binnen Brouwersstraat";"0004";"";"09";"0.9m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890371 52.379767,4.890968 52.380397,4.891052 52.380467)";"LINESTRING(52.379767 4.890371,52.380397 4.890968,52.380467 4.891052)";4.8907113;52.38011745
