OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
316;316;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.904303 52.349256,4.904284 52.349342)";"LINESTRING(52.349256 4.904303,52.349342 4.904284)";4.90429355;52.34929845
317;317;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.903867 52.350429,4.90382 52.350564)";"LINESTRING(52.350429 4.903867,52.350564 4.90382)";4.9038434;52.35049625
318;318;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.903516 52.350374,4.903469 52.350512)";"LINESTRING(52.350374 4.903516,52.350512 4.903469)";4.90349245;52.3504429
319;319;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.903411 52.35165,4.903367 52.351744)";"LINESTRING(52.35165 4.903411,52.351744 4.903367)";4.90338895;52.3516979
320;320;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.903049 52.351603,4.903019 52.351725)";"LINESTRING(52.351603 4.903049,52.351725 4.903019)";4.903034;52.3516655
321;321;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.903226 52.352127,4.903156 52.352246)";"LINESTRING(52.352127 4.903226,52.352246 4.903156)";4.90319085;52.3521862
322;322;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.902867 52.352087,4.902884 52.352207)";"LINESTRING(52.352087 4.902867,52.352207 4.902884)";4.9028754;52.35214615
323;323;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.902993 52.352646,4.902978 52.352738)";"LINESTRING(52.352646 4.902993,52.352738 4.902978)";4.90298555;52.35269165
324;324;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.90275 52.352597,4.902717 52.352717)";"LINESTRING(52.352597 4.90275,52.352717 4.902717)";4.90273355;52.35265735
325;325;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.902771 52.3531,4.902744 52.353184)";"LINESTRING(52.3531 4.902771,52.353184 4.902744)";4.9027574;52.35314175
326;326;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.902528 52.353057,4.902473 52.353152)";"LINESTRING(52.353057 4.902528,52.353152 4.902473)";4.9025004;52.35310555
327;327;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.899018 52.354263,4.899168 52.354302)";"LINESTRING(52.354263 4.899018,52.354302 4.899168)";4.8990929;52.3542824
328;328;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.899163 52.354299,4.899317 52.354077)";"LINESTRING(52.354299 4.899163,52.354077 4.899317)";4.8992398;52.354187
329;329;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.899317 52.354077,4.899185 52.35404)";"LINESTRING(52.354077 4.899317,52.35404 4.899185)";4.899251;52.3540573
330;330;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.899181 52.35404,4.899013 52.354262)";"LINESTRING(52.35404 4.899181,52.354262 4.899013)";4.89909695;52.35415075
331;331;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894393 52.353344,4.894575 52.353364)";"LINESTRING(52.353344 4.894393,52.353364 4.894575)";4.89448405;52.3533535
332;332;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894574 52.353364,4.894704 52.353147)";"LINESTRING(52.353364 4.894574,52.353147 4.894704)";4.89463905;52.3532543
333;333;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894704 52.353147,4.894537 52.353118)";"LINESTRING(52.353147 4.894704,52.353118 4.894537)";4.89462045;52.35313225
334;334;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894538 52.353118,4.894395 52.353341)";"LINESTRING(52.353118 4.894538,52.353341 4.894395)";4.8944664;52.3532295
335;335;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891322 52.351075,4.891553 52.351243)";"LINESTRING(52.351075 4.891322,52.351243 4.891553)";4.8914375;52.35115815
336;336;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891499 52.351366,4.891477 52.351482)";"LINESTRING(52.351366 4.891499,52.351482 4.891477)";4.89148805;52.35142325
337;337;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891477 52.351485,4.891225 52.351442)";"LINESTRING(52.351485 4.891477,52.351442 4.891225)";4.891351;52.3514633
338;338;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891225 52.351443,4.891245 52.351338)";"LINESTRING(52.351443 4.891225,52.351338 4.891245)";4.8912349;52.3513908
339;339;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891247 52.351337,4.891499 52.351369)";"LINESTRING(52.351337 4.891247,52.351369 4.891499)";4.8913729;52.3513527
340;340;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891263 52.352027,4.891507 52.352052)";"LINESTRING(52.352027 4.891263,52.352052 4.891507)";4.89138505;52.35203935
341;341;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891246 52.352151,4.891489 52.352162)";"LINESTRING(52.352151 4.891246,52.352162 4.891489)";4.8913674;52.3521557
342;342;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891489 52.352163,4.891507 52.352052)";"LINESTRING(52.352163 4.891489,52.352052 4.891507)";4.89149805;52.3521061
343;343;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891248 52.352145,4.891263 52.352027)";"LINESTRING(52.352145 4.891248,52.352027 4.891263)";4.8912556;52.352087
344;344;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890959 52.352888,4.891217 52.352916)";"LINESTRING(52.352888 4.890959,52.352916 4.891217)";4.891088;52.35290145
345;345;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891228 52.352922,4.891314 52.352685)";"LINESTRING(52.352922 4.891228,52.352685 4.891314)";4.8912711;52.35280225
346;346;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891307 52.352684,4.891055 52.352646)";"LINESTRING(52.352684 4.891307,52.352646 4.891055)";4.891181;52.35266495
347;347;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891055 52.352646,4.890967 52.352889)";"LINESTRING(52.352646 4.891055,52.352889 4.890967)";4.891011;52.35276795
348;348;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890782 52.353384,4.891017 52.353418)";"LINESTRING(52.353384 4.890782,52.353418 4.891017)";4.89089945;52.35339925
349;349;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890744 52.353481,4.890986 52.353488)";"LINESTRING(52.353481 4.890744,52.353488 4.890986)";4.8908651;52.3534851
350;350;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890984 52.353488,4.891017 52.353418)";"LINESTRING(52.353488 4.890984,52.353418 4.891017)";4.89100055;52.35345265
351;351;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890758 52.353482,4.890787 52.353384)";"LINESTRING(52.353482 4.890758,52.353384 4.890787)";4.89077255;52.3534317
352;352;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894052 52.353837,4.893999 52.353919)";"LINESTRING(52.353837 4.894052,52.353919 4.893999)";4.89402555;52.35387805
353;353;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893999 52.353922,4.894163 52.353955)";"LINESTRING(52.353922 4.893999,52.353955 4.894163)";4.8940811;52.35393905
354;354;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898754 52.354824,4.898703 52.354901)";"LINESTRING(52.354824 4.898754,52.354901 4.898703)";4.8987286;52.35486225
355;355;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898703 52.354904,4.898564 52.354857)";"LINESTRING(52.354904 4.898703,52.354857 4.898564)";4.8986335;52.3548813
356;356;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898567 52.354858,4.898598 52.354817)";"LINESTRING(52.354858 4.898567,52.354817 4.898598)";4.8985827;52.3548374
357;357;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898598 52.354818,4.898752 52.354828)";"LINESTRING(52.354818 4.898598,52.354828 4.898752)";4.8986752;52.35482215
358;358;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898262 52.355476,4.898184 52.355571)";"LINESTRING(52.355476 4.898262,52.355571 4.898184)";4.8982229;52.35552405
359;359;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898181 52.355571,4.898049 52.35552)";"LINESTRING(52.355571 4.898181,52.35552 4.898049)";4.89811495;52.355545
360;360;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898052 52.355521,4.898123 52.355429)";"LINESTRING(52.355521 4.898052,52.355429 4.898123)";4.8980875;52.3554764
361;361;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898122 52.355433,4.898268 52.355477)";"LINESTRING(52.355433 4.898122,52.355477 4.898268)";4.898195;52.3554554
362;362;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897632 52.356116,4.897647 52.356047)";"LINESTRING(52.356116 4.897632,52.356047 4.897647)";4.8976395;52.3560829
363;363;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897645 52.356046,4.897759 52.356091)";"LINESTRING(52.356046 4.897645,52.356091 4.897759)";4.897702;52.35606765
364;364;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897765 52.356092,4.897708 52.35614)";"LINESTRING(52.356092 4.897765,52.35614 4.897708)";4.89773655;52.3561153
365;365;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897709 52.356142,4.897632 52.356116)";"LINESTRING(52.356142 4.897709,52.356116 4.897632)";4.8976705;52.35612865
366;366;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893649 52.354449,4.893865 52.35448)";"LINESTRING(52.354449 4.893649,52.35448 4.893865)";4.8937571;52.35446545
367;367;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893863 52.35448,4.893713 52.354566)";"LINESTRING(52.35448 4.893863,52.354566 4.893713)";4.8937881;52.3545227
368;368;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893713 52.354566,4.893587 52.35455)";"LINESTRING(52.354566 4.893713,52.35455 4.893587)";4.89365005;52.35455705
369;369;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893589 52.35455,4.893646 52.354449)";"LINESTRING(52.35455 4.893589,52.354449 4.893646)";4.8936174;52.3544998
370;370;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893266 52.355076,4.893251 52.355005)";"LINESTRING(52.355076 4.893266,52.355005 4.893251)";4.89325855;52.3550396
371;371;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893253 52.355005,4.89341 52.35503)";"LINESTRING(52.355005 4.893253,52.35503 4.89341)";4.8933315;52.35501675
372;372;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.89341 52.35503,4.893379 52.355095)";"LINESTRING(52.35503 4.89341,52.355095 4.893379)";4.8933947;52.3550625
373;373;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893377 52.355096,4.893273 52.355077)";"LINESTRING(52.355096 4.893377,52.355077 4.893273)";4.89332485;52.35508535
374;374;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.89323 52.35543,4.893139 52.355568)";"LINESTRING(52.35543 4.89323,52.355568 4.893139)";4.89318445;52.35549925
375;375;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893136 52.35557,4.893029 52.355548)";"LINESTRING(52.35557 4.893136,52.355548 4.893029)";4.8930826;52.3555603
376;376;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893027 52.35555,4.893107 52.355408)";"LINESTRING(52.35555 4.893027,52.355408 4.893107)";4.89306685;52.3554783
377;377;"Eerste Van Der Helststraat";"0007";"";"36PLUS";"3.6m of breder";"WINKEL|GROEN|TERRAS|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Groen - Terrassen - Winkeluitstalling & reclameborden";4;"VOETGEENFI";"Voetgangersgebied, fietsen verboden";"LINESTRING(4.893105 52.355408,4.893273 52.355077)";"LINESTRING(52.355408 4.893105,52.355077 4.893273)";4.89318895;52.35524175
378;378;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893107 52.355408,4.89323 52.35543)";"LINESTRING(52.355408 4.893107,52.35543 4.89323)";4.89316845;52.35541915
379;379;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890523 52.354084,4.890557 52.353981)";"LINESTRING(52.354084 4.890523,52.353981 4.890557)";4.8905399;52.3540325
380;380;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890557 52.353983,4.890788 52.354014)";"LINESTRING(52.353983 4.890557,52.354014 4.890788)";4.89067245;52.3540001
381;381;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.89079 52.354014,4.890747 52.354122)";"LINESTRING(52.354014 4.89079,52.354122 4.890747)";4.89076855;52.3540688
382;382;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890747 52.35412,4.890525 52.354084)";"LINESTRING(52.35412 4.890747,52.354084 4.890525)";4.890636;52.35410115
383;383;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890578 52.354531,4.890537 52.354597)";"LINESTRING(52.354531 4.890578,52.354597 4.890537)";4.8905573;52.35456275
384;384;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890537 52.354597,4.890311 52.354551)";"LINESTRING(52.354597 4.890537,52.354551 4.890311)";4.8904238;52.3545723
385;385;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890317 52.354552,4.890328 52.354463)";"LINESTRING(52.354552 4.890317,52.354463 4.890328)";4.89032245;52.35450745
386;386;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890328 52.354466,4.890581 52.354532)";"LINESTRING(52.354466 4.890328,52.354532 4.890581)";4.8904545;52.3544979
387;387;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888317 52.354652,4.888488 52.354684)";"LINESTRING(52.354652 4.888317,52.354684 4.888488)";4.88840245;52.35466765
388;388;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888489 52.354688,4.888414 52.354514)";"LINESTRING(52.354688 4.888489,52.354514 4.888414)";4.88845135;52.3546009
389;389;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888415 52.354517,4.888305 52.354504)";"LINESTRING(52.354517 4.888415,52.354504 4.888305)";4.88836005;52.35451125
390;390;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888305 52.354504,4.88832 52.354652)";"LINESTRING(52.354504 4.888305,52.354652 4.88832)";4.8883126;52.354578
391;391;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888463 52.354212,4.888466 52.354143)";"LINESTRING(52.354212 4.888463,52.354143 4.888466)";4.88846445;52.35417745
392;392;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888638 52.353784,4.888751 52.353709)";"LINESTRING(52.353784 4.888638,52.353709 4.888751)";4.8886945;52.35374645
393;393;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889051 52.352612,4.889199 52.352635)";"LINESTRING(52.352612 4.889051,52.352635 4.889199)";4.8891249;52.35262295
394;394;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889204 52.352635,4.889278 52.352417)";"LINESTRING(52.352635 4.889204,52.352417 4.889278)";4.88924095;52.3525257
395;395;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889278 52.352417,4.88911 52.352397)";"LINESTRING(52.352417 4.889278,52.352397 4.88911)";4.889194;52.35240745
396;396;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889115 52.352398,4.88905 52.352612)";"LINESTRING(52.352398 4.889115,52.352612 4.88905)";4.88908245;52.3525047
397;397;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886703 52.352337,4.886684 52.352121)";"LINESTRING(52.352337 4.886703,52.352121 4.886684)";4.88669345;52.35222815
398;398;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886679 52.352121,4.886889 52.352106)";"LINESTRING(52.352121 4.886679,52.352106 4.886889)";4.8867841;52.3521118
399;399;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886886 52.352106,4.886876 52.352342)";"LINESTRING(52.352106 4.886886,52.352342 4.886876)";4.8868811;52.35222245
400;400;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886876 52.352342,4.886705 52.352337)";"LINESTRING(52.352342 4.886876,52.352337 4.886705)";4.8867905;52.3523388
401;401;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887073 52.35286,4.887096 52.352952)";"LINESTRING(52.35286 4.887073,52.352952 4.887096)";4.88708445;52.35290525
402;402;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886874 52.352824,4.886746 52.352828)";"LINESTRING(52.352824 4.886874,52.352828 4.886746)";4.88681005;52.3528271
403;403;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887125 52.353463,4.887134 52.353537)";"LINESTRING(52.353463 4.887125,52.353537 4.887134)";4.88712955;52.35350035
404;404;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887134 52.353539,4.886966 52.35353)";"LINESTRING(52.353539 4.887134,52.35353 4.886966)";4.88705015;52.3535347
405;405;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886966 52.353532,4.886965 52.353432)";"LINESTRING(52.353532 4.886966,52.353432 4.886965)";4.8869655;52.3534813
406;406;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886965 52.353435,4.887125 52.353464)";"LINESTRING(52.353435 4.886965,52.353464 4.887125)";4.8870449;52.35344885
407;407;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887123 52.354553,4.886966 52.354553)";"LINESTRING(52.354553 4.887123,52.354553 4.886966)";4.88704465;52.3545532
408;408;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887122 52.354553,4.887116 52.354693)";"LINESTRING(52.354553 4.887122,52.354693 4.887116)";4.8871191;52.3546238
409;409;"Tweede Van Der Helstraat";"0001";"";"06";"0.6m";"FIETSREG|WINKEL|OVERIG|FIETSONREG|PAAL";"Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Overig - Palen en masten - Winkeluitstalling & reclameborden";5;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894754 52.35259,4.894724 52.352757,4.894699 52.352881,4.894641 52.352969,4.894598 52.353044,4.894537 52.353119)";"LINESTRING(52.35259 4.894754,52.352757 4.894724,52.352881 4.894699,52.352969 4.894641,52.353044 4.894598,52.353119 4.894537)";4.89464545;52.3528538
410;410;"Tweede Van Der Helstraat";"0002";"";"18";"1.8m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894818 52.351959,4.894754 52.352493)";"LINESTRING(52.351959 4.894818,52.352493 4.894754)";4.89478585;52.35222625
411;411;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894754 52.352493,4.894754 52.35259)";"LINESTRING(52.352493 4.894754,52.35259 4.894754)";4.8947539;52.352541
412;412;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894754 52.352592,4.894909 52.352621)";"LINESTRING(52.352592 4.894754,52.352621 4.894909)";4.8948314;52.35260585
413;413;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894909 52.352621,4.894923 52.352522)";"LINESTRING(52.352621 4.894909,52.352522 4.894923)";4.89491605;52.3525715
414;414;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894923 52.352525,4.894754 52.352493)";"LINESTRING(52.352525 4.894923,52.352493 4.894754)";4.89483855;52.35250855
415;415;"Tweede Van Der Helstraat";"0003";"";"18";"1.8m";"WINKEL";"Winkeluitstalling & reclameborden";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894439 52.350526,4.89464 52.351253)";"LINESTRING(52.350526 4.894439,52.351253 4.89464)";4.8945396;52.3508892
416;416;"Tweede Van Der Helstraat";"0004";"";"22";"2.2m";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894862 52.35129,4.894672 52.350559)";"LINESTRING(52.35129 4.894862,52.350559 4.894672)";4.89476705;52.35092545
417;417;"Tweede Van Der Helstraat";"0005";"";"09";"0.9m";"FIETSREG|BROM|WINKEL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894923 52.352522,4.894985 52.351989)";"LINESTRING(52.352522 4.894923,52.351989 4.894985)";4.8949542;52.35225675
